소재구분,소재유형,소재명,집행지점목록,집행지점분포,집행지점수,총비용,총전환,총클릭,총노출,총랜딩,집행일수,귀속주의건수,매칭키,CPA,CTR,CVR,랜딩률,평가가능,TIER,TIER_근거,지점편중주석,지점별_상대평가
재가공,의료진정보,4050나잇살 이유는 여기에,['수원'],{'수원': 12},1,95566,3,53,17479,0,12,0,의료진정보_4050나잇살 이유는 여기에,31855.0,0.3,5.66,0.0,False,LOW_VOLUME,"클릭 53건 / 비용 95,566원 — 표본 부족","[!] 수원 100% 집중 (지점 평균 CPA 42,646원)",
재가공,인플방문후기,"건강한다이어트(대구,박고경)",['대구'],{'대구': 44},1,277989,15,205,26946,0,28,0,"인플방문후기_건강한다이어트(대구,박고경)",18533.0,0.76,7.32,0.0,True,TIER1,"CPA(18,533원) ≤ 목표(23,394원) AND CVR(7.3%) ≥ 5%","[!] 대구 100% 집중 (지점 평균 CPA 22,570원)",
재가공,인플방문후기,"건강한다이어트(천안, 박고경)",['천안'],{'천안': 43},1,326872,7,154,27721,0,28,0,"인플방문후기_건강한다이어트(천안, 박고경)",46696.0,0.56,4.55,0.0,True,TIER4,TIER1~3 조건 미충족,"[!] 천안 100% 집중 (지점 평균 CPA 32,649원)",
재가공,인플방문후기,맘껏먹는 다이어트 한달후기,['일산'],{'일산': 59},1,524529,35,328,39838,0,47,0,인플방문후기_맘껏먹는 다이어트 한달후기,14987.0,0.82,10.67,0.0,True,TIER1,"CPA(14,987원) ≤ 목표(23,394원) AND CVR(10.7%) ≥ 5%","[!] 일산 100% 집중 (지점 평균 CPA 15,962원)",
재가공,인플방문후기,먹고싶은거다먹는(수원잇츠),"['일산', '창원']","{'일산': 19, '창원': 19}",2,223027,10,100,23964,0,19,0,인플방문후기_먹고싶은거다먹는(수원잇츠),22303.0,0.42,10.0,0.0,True,TIER1,"CPA(22,303원) ≤ 목표(23,394원) AND CVR(10.0%) ≥ 5%",,
재가공,인플방문후기,연예인다이어트(일산 플랜비),['일산'],{'일산': 6},1,48154,1,25,8949,0,6,0,인플방문후기_연예인다이어트(일산 플랜비),48154.0,0.28,4.0,0.0,False,UNCLASSIFIED,집행 6일 — 데이터 누적 중,"[!] 일산 100% 집중 (지점 평균 CPA 15,962원)",[X] 일산 LOW (302%)
재가공,인플방문후기,연예인다이어트(플랜비),"['대구', '대전', '부평', '서울', '수원', '창원', '천안']","{'수원': 6, '부평': 6, '대구': 6, '창원': 6, '서울': 6, '천안': 5, '대전': 5}",7,335883,4,161,62144,0,6,0,인플방문후기_연예인다이어트(플랜비),83971.0,0.26,2.48,0.0,False,UNCLASSIFIED,집행 6일 — 데이터 누적 중,,[X] 대구 LOW (162%)
재가공,진료셀프캠,4050다이어트비밀,['부평'],{'부평': 6},1,53195,1,25,12679,0,6,0,진료셀프캠_4050다이어트비밀,53195.0,0.2,4.0,0.0,False,UNCLASSIFIED,집행 6일 — 데이터 누적 중,"[!] 부평 100% 집중 (지점 평균 CPA 34,451원)",[X] 부평 LOW (154%)
재가공,진료셀프캠,다이어트의적 밥빵면,"['대구', '대전']","{'대구': 15, '대전': 15}",2,596081,26,333,35459,0,15,0,진료셀프캠_다이어트의적 밥빵면,22926.0,0.94,7.81,0.0,True,TIER1,"CPA(22,926원) ≤ 목표(23,394원) AND CVR(7.8%) ≥ 5%",,
재가공,진료셀프캠,비만주사가놓친것,"['대구', '서울', '일산', '창원', '천안']","{'천안': 8, '대구': 8, '창원': 8, '일산': 8, '서울': 8}",5,132706,4,68,23490,0,8,0,진료셀프캠_비만주사가놓친것,33176.0,0.29,5.88,0.0,True,TIER3,"CPA(33,176원) > 목표 / CVR(5.9%) ≥ 5%",,[V] 서울 TOP (41%)
재가공,진료셀프캠,식욕억제주사실패 마지막,"['대구', '부평', '서울', '수원', '일산', '창원']","{'창원': 15, '부평': 15, '수원': 15, '일산': 15, '대구': 15, '서울': 15}",6,2327441,100,1336,163799,0,15,0,진료셀프캠_식욕억제주사실패 마지막,23274.0,0.82,7.49,0.0,True,TIER1,"CPA(23,274원) ≤ 목표(23,394원) AND CVR(7.5%) ≥ 5%",,[V] 부평 TOP (69%) | [X] 수원 LOW (155%) | [V] 창원 TOP (56%)
재가공,진료셀프캠,운동안해도되는,"['대구', '대전', '부평', '서울', '수원', '일산', '창원', '천안']","{'수원': 6, '창원': 6, '부평': 6, '대구': 6, '서울': 6, '일산': 6, '천안': 5, '대전': 5}",8,464468,16,254,52926,0,6,0,진료셀프캠_운동안해도되는,29029.0,0.48,6.3,0.0,False,UNCLASSIFIED,집행 6일 — 데이터 누적 중,,[V] 창원 TOP (43%)
재가공,진료셀프캠,의사가권하지않는4050,['서울'],{'서울': 8},1,61906,5,45,9574,0,8,0,진료셀프캠_의사가권하지않는4050,12381.0,0.47,11.11,0.0,False,LOW_VOLUME,"클릭 45건 / 비용 61,906원 — 표본 부족","[!] 서울 100% 집중 (지점 평균 CPA 15,648원)",
재가공,진료셀프캠,주사형비만치료제 고민끝에 50대부부 -32kg,"['대구', '대전', '서울']","{'서울': 60, '대구': 49, '대전': 16}",3,2148161,113,1187,159868,0,42,0,진료셀프캠_주사형비만치료제 고민끝에 50대부부 -32kg,19010.0,0.74,9.52,0.0,True,TIER1,"CPA(19,010원) ≤ 목표(23,394원) AND CVR(9.5%) ≥ 5%",,
