소재구분,소재유형,소재명,집행지점목록,집행지점분포,집행지점수,총비용,총전환,총클릭,총노출,총랜딩,집행일수,귀속주의건수,매칭키,CPA,CTR,CVR,랜딩률,평가가능,TIER,TIER_근거,지점편중주석,지점별_상대평가
재가공,의료진정보,4050나잇살 이유는 여기에,['수원'],{'수원': 20},1,117700,3,63,22024,34,20,0,의료진정보_4050나잇살 이유는 여기에,39233.0,0.29,4.76,54.0,True,TIER4,TIER1~3 조건 미충족,"[!] 수원 100% 집중 (지점 평균 CPA 42,646원)",
재가공,인플방문후기,"건강한다이어트(대구,박고경)",['대구'],{'대구': 55},1,358839,17,268,37352,107,36,0,"인플방문후기_건강한다이어트(대구,박고경)",21108.0,0.72,6.34,39.9,True,TIER1,"CPA(21,108원) ≤ 목표(30,024원) AND CVR(6.3%) ≥ 5%","[!] 대구 100% 집중 (지점 평균 CPA 22,570원)",
재가공,인플방문후기,맘껏먹는 다이어트 한달후기,['일산'],{'일산': 72},1,581262,36,357,46281,64,55,0,인플방문후기_맘껏먹는 다이어트 한달후기,16146.0,0.77,10.08,17.9,True,TIER1,"CPA(16,146원) ≤ 목표(30,024원) AND CVR(10.1%) ≥ 5%","[!] 일산 100% 집중 (지점 평균 CPA 15,962원)",
재가공,인플방문후기,먹고싶은거다먹는(수원잇츠),['일산'],{'일산': 27},1,116908,8,58,10702,20,27,0,인플방문후기_먹고싶은거다먹는(수원잇츠),14614.0,0.54,13.79,34.5,True,TIER1,"CPA(14,614원) ≤ 목표(30,024원) AND CVR(13.8%) ≥ 5%","[!] 일산 100% 집중 (지점 평균 CPA 15,962원)",
재가공,인플방문후기,연예인다이어트(일산 플랜비),['일산'],{'일산': 13},1,92164,6,45,17473,50,13,0,인플방문후기_연예인다이어트(일산 플랜비),15361.0,0.26,13.33,111.1,False,LOW_VOLUME,"클릭 45건 / 비용 92,164원 — 표본 부족","[!] 일산 100% 집중 (지점 평균 CPA 15,962원)",
재가공,인플방문후기,연예인다이어트(플랜비),['부평'],{'부평': 14},1,162661,4,75,22525,86,14,0,인플방문후기_연예인다이어트(플랜비),40665.0,0.33,5.33,114.7,True,TIER3,"CPA(40,665원) > 목표 / CVR(5.3%) ≥ 5%","[!] 부평 100% 집중 (지점 평균 CPA 34,451원)",
재가공,진료셀프캠,50대다이어트대사,"['대구', '대전', '부평', '서울', '수원', '일산', '창원', '천안']","{'대구': 8, '대전': 8, '부평': 8, '서울': 8, '수원': 8, '일산': 8, '창원': 8, '천안': 8}",8,328699,10,140,55016,182,8,0,진료셀프캠_50대다이어트대사,32870.0,0.25,7.14,130.0,True,TIER3,"CPA(32,870원) > 목표 / CVR(7.1%) ≥ 5%",,[V] 대구 TOP (60%) | [V] 수원 TOP (67%)
재가공,진료셀프캠,다이어트의적 밥빵면,"['대구', '대전']","{'대구': 23, '대전': 23}",2,1135443,45,609,65283,500,23,0,진료셀프캠_다이어트의적 밥빵면,25232.0,0.93,7.39,82.1,True,TIER1,"CPA(25,232원) ≤ 목표(30,024원) AND CVR(7.4%) ≥ 5%",,
재가공,진료셀프캠,비만주사가놓친것,['서울'],{'서울': 16},1,26042,4,18,4549,37,16,0,진료셀프캠_비만주사가놓친것,6510.0,0.4,22.22,205.6,False,LOW_VOLUME,"클릭 18건 / 비용 26,042원 — 표본 부족","[!] 서울 100% 집중 (지점 평균 CPA 15,648원)",[V] 서울 TOP (42%)
재가공,진료셀프캠,비만주사는입만막을뿐,"['대구', '대전', '부평', '서울', '수원', '일산', '창원', '천안']","{'대구': 7, '대전': 7, '부평': 7, '서울': 7, '수원': 7, '일산': 7, '창원': 7, '천안': 7}",8,569341,16,228,83406,294,7,0,진료셀프캠_비만주사는입만막을뿐,35584.0,0.27,7.02,128.9,True,TIER3,"CPA(35,584원) > 목표 / CVR(7.0%) ≥ 5%",,[V] 창원 TOP (46%)
재가공,진료셀프캠,식욕억제주사실패 마지막,"['대구', '대전', '부평', '서울', '수원', '일산', '창원', '천안']","{'대전': 33, '대구': 23, '부평': 23, '서울': 23, '수원': 23, '일산': 23, '창원': 23, '천안': 15}",8,6522704,236,3369,426548,3148,24,0,진료셀프캠_식욕억제주사실패 마지막,27639.0,0.79,7.01,93.4,True,TIER1,"CPA(27,639원) ≤ 목표(30,024원) AND CVR(7.0%) ≥ 5%",,
재가공,진료셀프캠,운동안해도되는,"['부평', '수원', '일산', '창원', '천안']","{'부평': 14, '수원': 14, '일산': 14, '창원': 14, '천안': 13}",5,1397523,40,667,123539,686,14,0,진료셀프캠_운동안해도되는,34938.0,0.54,6.0,102.8,True,TIER3,"CPA(34,938원) > 목표 / CVR(6.0%) ≥ 5%",,[V] 일산 TOP (70%) | [V] 창원 TOP (63%) | [X] 천안 LOW (185%)
재가공,진료셀프캠,의사가권하지않는4050,['서울'],{'서울': 16},1,67871,6,49,10354,65,16,0,진료셀프캠_의사가권하지않는4050,11312.0,0.47,12.24,132.7,False,LOW_VOLUME,"클릭 49건 / 비용 67,871원 — 표본 부족","[!] 서울 100% 집중 (지점 평균 CPA 15,648원)",
재가공,진료셀프캠,주사형비만치료제 고민끝에 50대부부 -32kg,"['대구', '대전', '서울']","{'서울': 73, '대구': 61, '대전': 24}",3,2623755,130,1458,200930,519,50,0,진료셀프캠_주사형비만치료제 고민끝에 50대부부 -32kg,20183.0,0.73,8.92,35.6,True,TIER1,"CPA(20,183원) ≤ 목표(30,024원) AND CVR(8.9%) ≥ 5%",,
