소재구분,소재유형,소재명,집행지점목록,집행지점분포,집행지점수,총비용,총전환,총클릭,총노출,총랜딩,집행일수,귀속주의건수,매칭키,CPA,CTR,CVR,랜딩률,평가가능,TIER,TIER_근거,지점편중주석,지점별_상대평가
신규,의료진정보,주사형비만치료제 10년은,['천안'],{'천안': 85},1,549032,13,338,61280,34,75,0,의료진정보_주사형비만치료제 10년은,42233.0,0.55,3.85,10.1,True,TIER4,TIER1~3 조건 미충족,"[!] 천안 100% 집중 (지점 평균 CPA 32,649원)",
신규,인플방문후기,밥빵면안당기는원장님(itsmeyuriwon),"['대구', '대전', '부평', '서울', '창원', '천안']","{'대구': 21, '대전': 21, '부평': 21, '서울': 21, '창원': 21, '천안': 21}",6,1261601,49,772,100621,500,21,0,인플방문후기_밥빵면안당기는원장님(itsmeyuriwon),25747.0,0.77,6.35,64.8,True,TIER1,"CPA(25,747원) ≤ 목표(25,924원) AND CVR(6.3%) ≥ 5%",,[V] 부평 TOP (61%)
신규,인플방문후기,주사형비만치료제(the.hyunniverse),"['대전', '부평', '서울', '수원', '일산', '천안']","{'수원': 24, '대전': 19, '부평': 19, '서울': 19, '일산': 19, '천안': 19}",6,1671704,63,805,199109,443,24,0,인플방문후기_주사형비만치료제(the.hyunniverse),26535.0,0.4,7.83,55.0,True,TIER3,"CPA(26,535원) > 목표 / CVR(7.8%) ≥ 5%",,[V] 천안 TOP (61%)
재가공,의료진정보,4050나잇살 이유는 여기에,['수원'],{'수원': 18},1,111029,3,61,20746,30,18,0,의료진정보_4050나잇살 이유는 여기에,37010.0,0.29,4.92,49.2,True,TIER4,TIER1~3 조건 미충족,"[!] 수원 100% 집중 (지점 평균 CPA 42,646원)",
재가공,인플방문후기,"건강한다이어트(대구,박고경)",['대구'],{'대구': 52},1,343791,17,257,35463,93,34,0,"인플방문후기_건강한다이어트(대구,박고경)",20223.0,0.72,6.61,36.2,True,TIER1,"CPA(20,223원) ≤ 목표(25,924원) AND CVR(6.6%) ≥ 5%","[!] 대구 100% 집중 (지점 평균 CPA 22,570원)",
재가공,인플방문후기,맘껏먹는 다이어트 한달후기,['일산'],{'일산': 70},1,570306,36,345,45412,51,53,0,인플방문후기_맘껏먹는 다이어트 한달후기,15842.0,0.76,10.43,14.8,True,TIER1,"CPA(15,842원) ≤ 목표(25,924원) AND CVR(10.4%) ≥ 5%","[!] 일산 100% 집중 (지점 평균 CPA 15,962원)",
재가공,인플방문후기,먹고싶은거다먹는(수원잇츠),['일산'],{'일산': 25},1,115223,8,58,10566,19,25,0,인플방문후기_먹고싶은거다먹는(수원잇츠),14403.0,0.55,13.79,32.8,True,TIER1,"CPA(14,403원) ≤ 목표(25,924원) AND CVR(13.8%) ≥ 5%","[!] 일산 100% 집중 (지점 평균 CPA 15,962원)",
재가공,인플방문후기,연예인다이어트(일산 플랜비),['일산'],{'일산': 12},1,89538,6,44,17092,48,12,0,인플방문후기_연예인다이어트(일산 플랜비),14923.0,0.26,13.64,109.1,False,LOW_VOLUME,"클릭 44건 / 비용 89,538원 — 표본 부족","[!] 일산 100% 집중 (지점 평균 CPA 15,962원)",
재가공,인플방문후기,연예인다이어트(플랜비),['부평'],{'부평': 12},1,117852,4,63,17720,69,12,0,인플방문후기_연예인다이어트(플랜비),29463.0,0.36,6.35,109.5,True,TIER3,"CPA(29,463원) > 목표 / CVR(6.3%) ≥ 5%","[!] 부평 100% 집중 (지점 평균 CPA 34,451원)",
재가공,진료셀프캠,50대다이어트대사,"['대구', '대전', '부평', '서울', '수원', '일산', '창원', '천안']","{'대구': 6, '대전': 6, '부평': 6, '서울': 6, '수원': 6, '일산': 6, '창원': 6, '천안': 6}",8,293511,10,128,50130,161,6,0,진료셀프캠_50대다이어트대사,29351.0,0.26,7.81,125.8,False,UNCLASSIFIED,집행 6일 — 데이터 누적 중,,[V] 대구 TOP (56%) | [V] 수원 TOP (60%)
재가공,진료셀프캠,다이어트의적 밥빵면,"['대구', '대전']","{'대구': 21, '대전': 21}",2,991853,38,540,57493,433,21,0,진료셀프캠_다이어트의적 밥빵면,26101.0,0.94,7.04,80.2,True,TIER3,"CPA(26,101원) > 목표 / CVR(7.0%) ≥ 5%",,
재가공,진료셀프캠,비만주사가놓친것,['서울'],{'서울': 14},1,25947,4,18,4519,37,14,0,진료셀프캠_비만주사가놓친것,6487.0,0.4,22.22,205.6,False,LOW_VOLUME,"클릭 18건 / 비용 25,947원 — 표본 부족","[!] 서울 100% 집중 (지점 평균 CPA 15,648원)",[V] 서울 TOP (41%)
재가공,진료셀프캠,비만주사는입만막을뿐,"['대구', '대전', '부평', '서울', '수원', '일산', '창원', '천안']","{'대구': 5, '대전': 5, '부평': 5, '서울': 5, '수원': 5, '일산': 5, '창원': 5, '천안': 5}",8,343515,14,146,48470,181,5,0,진료셀프캠_비만주사는입만막을뿐,24537.0,0.3,9.59,124.0,False,UNCLASSIFIED,집행 5일 — 데이터 누적 중,,[V] 부평 TOP (62%) | [V] 일산 TOP (64%) | [V] 창원 TOP (54%)
