소재구분,소재유형,소재명,집행지점목록,집행지점분포,집행지점수,총비용,총전환,총클릭,총노출,총랜딩,집행일수,귀속주의건수,매칭키,CPA,CTR,CVR,랜딩률,평가가능,TIER,TIER_근거,지점편중주석,지점별_상대평가
신규,의료진정보,"다이어트의 적!밥,빵,면","['서울', '일산']","{'서울': 129, '일산': 128}",2,940316,55,834,83611,603,26,4,"의료진정보_다이어트의 적!밥,빵,면",17097.0,1.0,6.59,72.3,True,TIER1,"CPA(17,097원) ≤ 목표(27,803원) AND CVR(6.6%) ≥ 5%",,
신규,의료진정보,주사형비만치료제 10년은,"['대구', '부평', '서울', '수원', '일산', '천안']","{'부평': 129, '서울': 129, '수원': 129, '천안': 128, '대구': 128, '일산': 123}",6,2602512,85,1767,289081,1033,26,9,의료진정보_주사형비만치료제 10년은,30618.0,0.61,4.81,58.5,True,TIER4,TIER1~3 조건 미충족,,[X] 천안 LOW (170%)
신규,의료진정보,주사형비만치료제맞고 한의원찾아오신,"['부평', '서울', '수원', '창원']","{'서울': 73, '창원': 72, '부평': 72, '수원': 72}",4,409788,12,298,67125,158,15,1,의료진정보_주사형비만치료제맞고 한의원찾아오신,34149.0,0.44,4.03,53.0,True,TIER4,TIER1~3 조건 미충족,,[X] 수원 LOW (167%)
신규,인플방문후기,끝내주는 다이어트(창원언니쓰),['창원'],{'창원': 74},1,261933,15,253,34525,155,15,2,인플방문후기_끝내주는 다이어트(창원언니쓰),17462.0,0.73,5.93,61.3,True,TIER1,"CPA(17,462원) ≤ 목표(27,803원) AND CVR(5.9%) ≥ 5%","[!] 창원 100% 집중 (지점 평균 CPA 48,417원)",[V] 창원 TOP (36%)
신규,인플방문후기,먹으면서 다이어트(대읽남),['대구'],{'대구': 129},1,1114581,52,810,167506,412,26,4,인플방문후기_먹으면서 다이어트(대읽남),21434.0,0.48,6.42,50.9,True,TIER1,"CPA(21,434원) ≤ 목표(27,803원) AND CVR(6.4%) ≥ 5%","[!] 대구 100% 집중 (지점 평균 CPA 22,570원)",
신규,인플방문후기,배만 볼록한 대구직장인 다이어트(쭈링),['대구'],{'대구': 74},1,162338,4,135,28132,75,15,0,인플방문후기_배만 볼록한 대구직장인 다이어트(쭈링),40584.0,0.48,2.96,55.6,True,TIER4,TIER1~3 조건 미충족,"[!] 대구 100% 집중 (지점 평균 CPA 22,570원)",[X] 대구 LOW (180%)
신규,진료셀프캠,다이어트 빼는 게 아니라 찾는 것,"['일산', '천안']","{'천안': 119, '일산': 112}",2,93085,8,74,11199,37,26,2,진료셀프캠_다이어트 빼는 게 아니라 찾는 것,11636.0,0.66,10.81,50.0,False,LOW_VOLUME,"클릭 74건 / 비용 93,085원 — 표본 부족",,[V] 일산 TOP (22%)
신규,진료셀프캠,명절음식 급찐살 칼로리 문제가 아닙니다,['서울'],{'서울': 38},1,11677,0,9,4147,4,10,0,진료셀프캠_명절음식 급찐살 칼로리 문제가 아닙니다,,0.22,0.0,44.4,False,LOW_VOLUME,"클릭 9건 / 비용 11,677원 — 표본 부족","[!] 서울 100% 집중 (지점 평균 CPA 15,648원)",
신규,진료셀프캠,주사형 비만치료제보다 더중요한이것,"['대구', '부평', '서울', '수원', '일산', '창원', '천안']","{'수원': 129, '서울': 129, '천안': 129, '창원': 129, '대구': 129, '부평': 128, '일산': 128}",7,5529500,203,3706,607169,2475,26,10,진료셀프캠_주사형 비만치료제보다 더중요한이것,27239.0,0.61,5.48,66.8,True,TIER1,"CPA(27,239원) ≤ 목표(27,803원) AND CVR(5.5%) ≥ 5%",,
재가공,인플방문후기,체지방만쏙빼는(부산잇츠),"['대구', '부평', '서울', '수원', '일산', '창원', '천안']","{'천안': 45, '서울': 44, '수원': 44, '창원': 44, '대구': 44, '부평': 43, '일산': 40}",7,3148773,111,2522,342661,1651,9,5,인플방문후기_체지방만쏙빼는(부산잇츠),28367.0,0.74,4.4,65.5,True,TIER4,TIER1~3 조건 미충족,,[X] 대구 LOW (176%)
재가공,진료셀프캠,주사형비만치료제 고민끝에 -32kg 가능했던,['창원'],{'창원': 19},1,155150,7,103,14838,60,4,1,진료셀프캠_주사형비만치료제 고민끝에 -32kg 가능했던,22164.0,0.69,6.8,58.3,False,UNCLASSIFIED,집행 4일 — 데이터 누적 중,"[!] 창원 100% 집중 (지점 평균 CPA 48,417원)",[V] 창원 TOP (46%)
재가공,진료셀프캠,주사형비만치료제 고민끝에 40대부부 -32kg,"['일산', '천안']","{'천안': 19, '일산': 19}",2,357821,15,277,28477,185,4,0,진료셀프캠_주사형비만치료제 고민끝에 40대부부 -32kg,23855.0,0.97,5.42,66.8,False,UNCLASSIFIED,집행 4일 — 데이터 누적 중,,
재가공,진료셀프캠,주사형비만치료제 고민끝에 50대부부 -32kg,"['부평', '수원']","{'부평': 19, '수원': 19}",2,688872,26,422,68305,275,4,1,진료셀프캠_주사형비만치료제 고민끝에 50대부부 -32kg,26495.0,0.62,6.16,65.2,False,UNCLASSIFIED,집행 4일 — 데이터 누적 중,,[V] 부평 TOP (67%)
