ad_id,ad_name,campaign_id,campaign_name,adgroup_id,adgroup_name,create_time,modify_time,creative_type,image_mode,ad_format,display_name,vertical_video_strategy,interactive_motion_id,card_id,end_card_cta,call_to_action_id,identity_id,identity_type,image_ids,video_id,operation_status,secondary_status,is_addon,addon_kind
1864591731925074,(신)_대구_진료셀프캠_쉬운다이어트함정_260508,1863882258827649,2605_다이트_전환캠페인,1863882775670930,2605_DB 전환_대구,2026-05-08 04:09:07,2026-05-16 04:48:57,,,SINGLE_VIDEO,다이트한의원,,,7637029907089083412,,7637367960662805522,a00d3f86-d1f6-5187-a4b9-c096bec78c8c,BC_AUTH_TT,"[""tos-alisg-p-0051c001-sg/4bf217b2d887e1f275910b487a465120""]",v10033g50000d7ulqpvog65sjuomk0t0,DISABLE,AD_STATUS_CAMPAIGN_DISABLE,True,display_card
1864591731925058,(신)_대구_진료셀프캠_다이어트 실패 진짜 이유_260508,1863882258827649,2605_다이트_전환캠페인,1863882775670930,2605_DB 전환_대구,2026-05-08 04:09:07,2026-05-16 04:48:57,,,SINGLE_VIDEO,다이트한의원,,,7637029907089083412,,7637367960662789138,a00d3f86-d1f6-5187-a4b9-c096bec78c8c,BC_AUTH_TT,"[""tos-alisg-p-0051c001-sg/6e37c9dfdc8ca97b1d713081434aa5fd""]",v10033g50000d7ulprfog65j1gd43920,DISABLE,AD_STATUS_CAMPAIGN_DISABLE,True,display_card
1864591442512993,(신)_창원_진료셀프캠_쉬운다이어트함정_260508,1863882258827649,2605_다이트_전환캠페인,1863882775670962,2605_DB 전환_창원,2026-05-08 04:07:16,2026-05-16 04:48:57,,,SINGLE_VIDEO,다이트한의원,,,7637029907089083412,,7637367569447406599,a00d3f86-d1f6-5187-a4b9-c096bec78c8c,BC_AUTH_TT,"[""tos-alisg-p-0051c001-sg/4bf217b2d887e1f275910b487a465120""]",v10033g50000d7ulqpvog65sjuomk0t0,DISABLE,AD_STATUS_CAMPAIGN_DISABLE,True,display_card
1864591442512977,(신)_창원_진료셀프캠_다이어트 실패 진짜 이유_260508,1863882258827649,2605_다이트_전환캠페인,1863882775670962,2605_DB 전환_창원,2026-05-08 04:07:16,2026-05-16 04:48:57,,,SINGLE_VIDEO,다이트한의원,,,7637029907089083412,,7638423817458584584,a00d3f86-d1f6-5187-a4b9-c096bec78c8c,BC_AUTH_TT,"[""tos-alisg-p-0051c001-sg/6e37c9dfdc8ca97b1d713081434aa5fd""]",v10033g50000d7ulprfog65j1gd43920,DISABLE,AD_STATUS_CAMPAIGN_DISABLE,True,display_card
1864591280561409,(신)_천안_진료셀프캠_쉬운다이어트함정_260508,1863882258827649,2605_다이트_전환캠페인,1863882775672002,2605_DB 전환_천안,2026-05-08 04:01:56,2026-05-16 04:48:57,,,SINGLE_VIDEO,다이트한의원,,,7637029907089083412,,7637366184932854791,a00d3f86-d1f6-5187-a4b9-c096bec78c8c,BC_AUTH_TT,"[""tos-alisg-p-0051c001-sg/4bf217b2d887e1f275910b487a465120""]",v10033g50000d7ulqpvog65sjuomk0t0,DISABLE,AD_STATUS_CAMPAIGN_DISABLE,True,display_card
1864591280561393,(신)_천안_진료셀프캠_다이어트 실패 진짜 이유_260508,1863882258827649,2605_다이트_전환캠페인,1863882775672002,2605_DB 전환_천안,2026-05-08 04:01:56,2026-05-16 04:48:57,,,SINGLE_VIDEO,다이트한의원,,,7637029907089083412,,7637366184932838407,a00d3f86-d1f6-5187-a4b9-c096bec78c8c,BC_AUTH_TT,"[""tos-alisg-p-0051c001-sg/6e37c9dfdc8ca97b1d713081434aa5fd""]",v10033g50000d7ulprfog65j1gd43920,DISABLE,AD_STATUS_CAMPAIGN_DISABLE,True,display_card
1864591038405921,(신)_수원_진료셀프캠_쉬운다이어트함정_260508,1863882258827649,2605_다이트_전환캠페인,1863882775669778,2605_DB 전환_수원,2026-05-08 03:58:16,2026-05-16 04:48:57,,,SINGLE_VIDEO,다이트한의원,,,7637029907089083412,,7637365283296005138,a00d3f86-d1f6-5187-a4b9-c096bec78c8c,BC_AUTH_TT,"[""tos-alisg-p-0051c001-sg/4bf217b2d887e1f275910b487a465120""]",v10033g50000d7ulqpvog65sjuomk0t0,DISABLE,AD_STATUS_CAMPAIGN_DISABLE,True,display_card
1864591038405905,(신)_수원_진료셀프캠_다이어트 실패 진짜 이유_260508,1863882258827649,2605_다이트_전환캠페인,1863882775669778,2605_DB 전환_수원,2026-05-08 03:58:16,2026-05-16 04:48:57,,,SINGLE_VIDEO,다이트한의원,,,7637029907089083412,,7637365283295988754,a00d3f86-d1f6-5187-a4b9-c096bec78c8c,BC_AUTH_TT,"[""tos-alisg-p-0051c001-sg/6e37c9dfdc8ca97b1d713081434aa5fd""]",v10033g50000d7ulprfog65j1gd43920,DISABLE,AD_STATUS_CAMPAIGN_DISABLE,True,display_card
1864590948179058,(신)_일산_진료셀프캠_쉬운다이어트함정_260508,1863882258827649,2605_다이트_전환캠페인,1863882775669810,2605_DB 전환_일산,2026-05-08 03:56:17,2026-05-16 04:48:59,,,SINGLE_VIDEO,다이트한의원,,,7637029907089083412,,7637364877157288967,a00d3f86-d1f6-5187-a4b9-c096bec78c8c,BC_AUTH_TT,"[""tos-alisg-p-0051c001-sg/7701538edb3a9655b10b9d1ec4b16d00""]",v10033g50000d7ulqpvog65sjuomk0t0,DISABLE,AD_STATUS_CAMPAIGN_DISABLE,True,display_card
1864590948179042,(신)_일산_진료셀프캠_다이어트 실패 진짜 이유_260508,1863882258827649,2605_다이트_전환캠페인,1863882775669810,2605_DB 전환_일산,2026-05-08 03:56:17,2026-05-16 04:48:59,,,SINGLE_VIDEO,다이트한의원,,,7637029907089083412,,7637364688690383890,a00d3f86-d1f6-5187-a4b9-c096bec78c8c,BC_AUTH_TT,"[""tos-alisg-p-0051c001-sg/6e37c9dfdc8ca97b1d713081434aa5fd""]",v10033g50000d7ulprfog65j1gd43920,DISABLE,AD_STATUS_CAMPAIGN_DISABLE,True,display_card
